Date,Open,High,Low,Close,SMAVG5,SMAVG10,SMAVG30,Volume
2004-10-01,1057.8,1078.98,1048.29,1078.75,1068.56,1052.13,1060.02,221690000
2004-10-08,1077.08,1088.74,1066.37,1068.04,1069.89,1054.09,1060.14,204340000
2004-10-15,1068.04,1073.27,1049,1054.95,1066.89,1058.3,1060.18,244580000
2004-10-22,1055.42,1064.71,1041.15,1043.29,1060.61,1061.09,1059.86,259050000
2004-10-29,1042.81,1077.56,1035.67,1075.89,1064.18,1064.04,1059.49,275729984
2004-11-05,1073.27,1115.39,1072.08,1111.59,1070.75,1069.66,1060.38,288860000
2004-11-12,1110.87,1127.77,1106.35,1125.87,1082.32,1076.1,1061.93,218210000
2004-11-19,1126.1,1132.53,1113.01,1115.87,1094.5,1080.7,1062.97,216570000
2004-11-26,1115.63,1130.39,1110.4,1123.96,1110.63,1085.62,1065.34,124770000
2004-12-03,1123.72,1140.86,1115.87,1132.05,1121.87,1093.02,1068.31,275430016
2004-12-10,1132.05,1136.1,1117.08,1132.28,1126.01,1098.38,1071.32,237870000
2004-12-17,1132.52,1150.33,1132.28,1138.46,1128.52,1105.42,1074.6,250050000
2004-12-24,1137.74,1155.8,1135.61,1151.28,1135.61,1115.05,1077.43,137560000
2004-12-31,1151.76,1158.88,1147.01,1153.18,1141.45,1126.04,1080.23,126920000
2005-01-07,1152.95,1160.31,1123.73,1127.06,1140.45,1131.16,1081.73,295300000
2005-01-14,1127.77,1137.03,1117.55,1124.68,1138.93,1132.47,1083.22,292289984
2005-01-21,1125.87,1137.98,1109,1110.19,1133.28,1130.9,1084.19,247740000
2005-01-28,1111.62,1119.22,1106.15,1116.13,1126.25,1130.93,1085.66,301830016
2005-02-04,1118.03,1144.39,1118.03,1142.02,1124.02,1132.73,1088.4,257940000
2005-02-11,1142.73,1149.62,1132.28,1146.77,1127.96,1134.2,1091.62,240360000
2005-02-18,1147.48,1152.95,1137.74,1142.26,1131.47,1135.2,1095.24,236490000
2005-02-25,1141.31,1152.71,1124.44,1151.52,1139.74,1136.51,1098.67,279649984
2005-03-04,1151.52,1164.58,1138.46,1163.16,1149.15,1137.7,1103.68,299510016
2005-03-11,1164.58,1168.38,1138.25,1141.09,1148.96,1136.49,1107.87,285520000
2005-03-18,1141.33,1151.27,1123.11,1127.13,1145.03,1136.49,1110.56,300180000
2005-03-25,1127.84,1129.97,1106.3,1112.69,1139.12,1135.3,1112.47,278729984
2005-04-01,1113.17,1129.73,1104.41,1114.82,1131.78,1135.76,1114.26,345329984
2005-04-08,1114.35,1131.86,1108.2,1120.27,1123.2,1136.17,1115.93,286520000
